属性分类,ID,技能名,特效类型,建议尺寸,文件名,视觉描述/AI提示词
火属性,F01,烈焰弹,投射物,128×128,eff_F01_fireball.png,"一颗燃烧的火球，橙红色火焰包裹，拖着火焰尾迹，正面视角，像素风/手绘风，透明背景"
火属性,F03,熔岩喷射,扇形弹片,96×96,eff_F03_lava_shard.png,"一块飞溅的熔岩碎片，暗红色岩石外壳包裹橙黄色岩浆，带飞溅火星，透明背景"
火属性,S01,梦想封印,投射物,128×128,eff_S01_seal_orb.png,"带有封印符文的火红色能量球，表面有神秘符号环绕，发光粒子散落，透明背景"
冰属性,I01,冰霜刺,地面刺,512×128,eff_I01_ice_spike.png,"一排从地面升起的尖锐冰刺，浅蓝色半透明冰晶，底部有冰霜裂纹扩散，横向排列3-4根，透明背景"
冰属性,I02,冰晶弹幕,扇形弹片,96×96,eff_I02_ice_shard.png,"一枚锋利的菱形冰晶飞镖，浅蓝色半透明，边缘有寒气雾气，晶体反光，透明背景"
冰属性,I03,极寒领域,自身AOE,256×256,eff_I03_frost_field.png,"圆形冰霜领域俯视图，中心向外扩散的冰花纹路，浅蓝色半透明雪花粒子漂浮，边缘有冰晶凝结，透明背景"
风属性,W01,旋风斩,自身AOE,256×256,eff_W01_whirlwind.png,"环绕身体的绿色旋风刃，多道弧形风刃环绕旋转形成圆环，带绿色气流线条和叶片碎屑，透明背景"
风属性,W02,风刃飞射,扇形弹片,128×64,eff_W02_wind_blade.png,"一道弧形绿色风刃，形如新月，边缘锋利带气流拖尾，半透明翠绿色，透明背景"
风属性,W04,真空斩,投射物,128×128,eff_W04_vacuum_slash.png,"一道强力真空刀刃，深绿色到白色渐变，中心有空气扭曲效果，周围空气被撕裂的纹路，透明背景"
雷属性,T01,雷霆击,投射物,128×128,eff_T01_thunder_bolt.png,"一团球形闪电，亮黄色电弧核心，外围有蓝紫色电流分叉跳跃，强烈发光，透明背景"
雷属性,T03,雷暴领域,目标AOE,256×256,eff_T03_storm_field.png,"圆形雷暴区域俯视图，深紫色雷云覆盖，多道黄色闪电从云层劈下，底部有电弧爬行纹路，透明背景"
雷属性,T04,瞬雷,目标AOE,192×256,eff_T04_instant_thunder.png,"一道从天而降的粗壮金色闪电，呈锯齿形劈下，击中点有白色爆裂光环，周围电弧四散，透明背景"
土属性,E02,尖刺陷阱,陷阱,128×64,eff_E02_spike_trap.png,"地面上一个隐蔽的尖刺陷阱，棕色岩石质感，中间有尖锐的石刺微微露出，周围泥土裂缝，透明背景"
土属性,E03,岩壁屏障,岩壁,64×256,eff_E03_rock_wall.png,"一面厚实的竖直岩壁，深棕色层叠岩石纹理，表面有裂纹和苔藓，顶部有碎石，透明背景"
土属性,E04,地裂冲击,地面刺,512×128,eff_E04_earth_crack.png,"地面裂开的长条裂缝，棕色岩石碎片向两侧翻起，裂缝内有橙红色岩浆隐隐发光，横向延伸，透明背景"
时间属性,N01,时间停止,Buff全屏,256×256,eff_N01_time_stop.png,"深紫色时钟齿轮图案，中心是一个停止的时钟表盘，周围有破碎的时间碎片和紫色粒子凝固在空中，透明背景"
时间属性,N02,时间裂隙,目标AOE,256×256,eff_N02_time_rift.png,"圆形空间裂缝区域，深紫色到黑色的漩涡，边缘有时间碎片和扭曲的光线，像玻璃碎裂效果，透明背景"
时间属性,N03,时间减缓,Buff全屏,256×256,eff_N03_time_slow.png,"淡紫色沙漏图案居中，周围有缓慢流动的紫色时间沙粒和放慢的钟表指针残影，透明背景"
空间属性,N06,空间折跃,传送残影,128×256,eff_N06_teleport.png,"人形残影轮廓，银白色到灰蓝色渐变，像全息投影正在消散，边缘有空间扭曲的波纹和碎片化像素效果，透明背景"
物质属性,N07,物质崩解,DOT标记,96×96,eff_N07_dissolve_mark.png,"一个不稳定的紫色晶体标记悬浮在头顶，表面有裂纹正在崩解碎裂，碎片向外飞散，发出紫色暗光，透明背景"
物质属性,N08,物质凝聚弹,投射物,128×128,eff_N08_matter_orb.png,"一颗由多种物质凝聚的球体，深棕紫色核心，表面有旋转的矿物碎片和晶体环绕，散发棱形光芒，透明背景"
无属性,N09,虚无之刃,近战斩击,256×128,eff_N09_void_slash.png,"一道横向的银白色斩击弧光，如刀锋划过的残影，中心明亮边缘渐隐，带灰白色粒子飞散，透明背景"
无属性,N10,中和射线,光束,512×64,eff_N10_neutral_beam.png,"一道水平贯穿的纯白色能量光束，中心极亮，两侧有细小光线分叉，整体纯净无色，有柔和光晕，透明背景"
